product_id,product_name,description,brand,category,sustainability_labels,price
p90,Reusable Stainless Steel Mug,"Insulated mug made from stainless steel, eco-friendly.",SteelSip,Beverages,reusable,16.99
p91,Organic Cotton Gloves,"Warm gloves made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",9.99
p92,Biodegradable Sponge,"Kitchen sponge made from plant-based materials.",CleanWave,Kitchen,biodegradable,3.49
p93,Recycled Paper Postcards,"Postcards made from 100% recycled paper.",GreenLeaf,Stationery,recycled,2.49
p94,Plastic-Free Body Lotion,"Natural body lotion in a recyclable paper bottle.",NaturePure,Toiletries,"plastic-free,recyclable",8.49
p95,Compostable Food Containers,"Food containers made from plant-based materials.",EcoStore,Kitchen,compostable,7.99
p96,Organic Cotton Curtains,"Elegant curtains made from 100% organic cotton.",EcoRest,Home Decor,"organic,ethical",49.99
p97,Bamboo Soap Dish,"Soap dish made from sustainable bamboo.",EcoBrush,Toiletries,biodegradable,4.99
p98,Recycled Plastic Wallet,"Durable wallet made from recycled ocean plastic.",SeaShade,Accessories,recycled,14.99
p99,Organic Black Tea,"Loose-leaf black tea, organically grown, compostable packaging.",PureLeaf,Beverages,"organic,compostable",5.99
p100,Reusable Silicone Lid,"Food storage lid made from food-grade silicone.",EcoStore,Kitchen,reusable,6.99
p101,Biodegradable Floss,"Dental floss made from plant-based materials, compostable.",SmileGreen,Toiletries,biodegradable,3.99
p102,Organic Cotton Hoodie,"Cozy hoodie made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",39.99
p103,Compostable Straws,"Straws made from plant-based materials, compostable.",GreenSip,Tableware,compostable,2.99
p104,Recycled Aluminum Bottle,"Lightweight bottle made from recycled aluminum.",CycleWorks,Accessories,recycled,14.99
p105,Organic Soy Wax Melts,"Scented wax melts made from organic soy wax.",GlowGreen,Home Decor,"organic,eco-friendly",7.99
p106,Plastic-Free Toothpaste Tabs,"Toothpaste tablets in a recyclable glass jar.",NaturePure,Toiletries,"plastic-free,recyclable",6.49
p107,Bamboo Watch,"Eco-friendly watch with a bamboo strap and case.",EcoShade,Accessories,biodegradable,29.99
p108,Organic Cotton Pot Holders,"Heat-resistant pot holders made from organic cotton.",GreenChef,Kitchen,"organic,ethical",9.99
p109,Compostable Cups,"Disposable cups made from plant-based materials.",GreenTable,Tableware,compostable,4.99
p110,Recycled Paper Sketchbook,"Sketchbook made from 100% recycled paper.",GreenPlan,Stationery,recycled,8.99
p111,Organic Face Cream,"Moisturizing face cream with organic ingredients, recyclable jar.",PureBloom,Toiletries,"organic,recyclable",10.99
p112,Reusable Glass Tumbler,"Tumbler made from recycled glass, BPA-free.",ClearSip,Accessories,"recycled,reusable",12.99
p113,Biodegradable Scrub Pads,"Scrub pads made from plant-based fibers, compostable.",CleanGreen,Kitchen,compostable,3.99
p114,Organic Cotton Mattress Cover,"Soft mattress cover made from 100% organic cotton.",EcoRest,Bedding,"organic,ethical",79.99
p115,Plastic-Free Lip Gloss,"Natural lip gloss in a recyclable paper tube.",FreshEco,Toiletries,"plastic-free,recyclable",4.99
p116,Recycled Polyester Vest,"Warm vest made from recycled plastic bottles.",EcoWear,Clothing,recycled,34.99
p117,Compostable Tea Filters,"Tea filters made from plant-based fibers, compostable.",EcoBrew,Beverages,compostable,3.49
p118,Bamboo Serving Tray,"Serving tray made from sustainable bamboo.",GreenTable,Tableware,biodegradable,19.99
p119,Organic Body Butter,"Rich body butter with organic ingredients, recyclable jar.",PureBloom,Toiletries,"organic,recyclable",9.49
p120,Reusable Stainless Steel Canister,"Food storage canister made from stainless steel.",SteelSip,Kitchen,reusable,14.99
p121,Organic Cotton Bandana,"Stylish bandana made from 100% organic cotton.",EcoWear,Accessories,"organic,ethical",7.99
p122,Biodegradable Dish Soap Bar,"Solid dish soap bar, zero waste and plant-based.",CleanWave,Kitchen,biodegradable,5.49
p123,Recycled Paper Gift Tags,"Gift tags made from 100% recycled paper.",GreenLeaf,Stationery,recycled,2.49
p124,Plastic-Free Shaving Soap,"Natural shaving soap in a recyclable tin.",NaturePure,Toiletries,"plastic-free,recyclable",6.49
p125,Compostable Baking Cups,"Baking cups made from plant-based materials.",EcoStore,Kitchen,compostable,3.99
p126,Organic Cotton Throw,"Cozy throw blanket made from 100% organic cotton.",EcoRest,Home Decor,"organic,ethical",39.99
p127,Bamboo Pen,"Eco-friendly pen made from sustainable bamboo.",EcoDesk,Stationery,biodegradable,2.99
p128,Recycled Plastic Belt,"Durable belt made from recycled ocean plastic.",SeaShade,Accessories,recycled,12.99
p129,Organic Chamomile Tea,"Loose-leaf chamomile tea, organically grown, compostable packaging.",PureLeaf,Beverages,"organic,compostable",5.99
p130,Reusable Silicone Wrap,"Food wrap made from food-grade silicone, reusable.",EcoStore,Kitchen,reusable,8.99
p131,Biodegradable Cotton Swabs,"Cotton swabs with bamboo sticks, fully biodegradable.",SmileGreen,Toiletries,biodegradable,2.99
p132,Organic Cotton Sweatshirt,"Comfortable sweatshirt made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",34.99
p133,Compostable Party Cups,"Party cups made from plant-based materials, compostable.",GreenTable,Tableware,compostable,5.49
p134,Recycled Aluminum Mug,"Insulated mug made from recycled aluminum.",CycleWorks,Beverages,recycled,13.99
p135,Organic Beeswax Wrap,"Food wrap made from organic beeswax and cotton.",GlowGreen,Kitchen,"organic,eco-friendly",9.99
p136,Plastic-Free Face Mask,"Natural face mask in a recyclable glass jar.",NaturePure,Toiletries,"plastic-free,recyclable",8.99
p137,Bamboo Keychain,"Eco-friendly keychain made from sustainable bamboo.",EcoShade,Accessories,biodegradable,4.99
p138,Organic Cotton Napkin Rings,"Napkin rings made from organic cotton, reusable.",GreenDine,Tableware,"organic,reusable",7.99
p139,Compostable Food Trays,"Food trays made from bagasse, fully compostable.",GreenTable,Tableware,compostable,6.49
p140,Recycled Paper Diary,"Diary made from 100% recycled paper, eco-friendly.",GreenPlan,Stationery,recycled,9.49
p141,Organic Hand Cream,"Moisturizing hand cream with organic ingredients, recyclable jar.",PureBloom,Toiletries,"organic,recyclable",7.99
p142,Reusable Glass Jar,"Food storage jar made from recycled glass.",ClearSip,Kitchen,"recycled,reusable",10.99
p143,Biodegradable Cleaning Brush,"Cleaning brush with bamboo handle, plant-based bristles.",CleanGreen,Kitchen,biodegradable,4.99
p144,Organic Cotton Bathrobe,"Soft bathrobe made from 100% organic cotton.",EcoRest,Bathroom,"organic,ethical",59.99
p145,Plastic-Free Eye Cream,"Natural eye cream in a recyclable glass jar.",FreshEco,Toiletries,"plastic-free,recyclable",9.99
p146,Recycled Polyester Pants,"Comfortable pants made from recycled plastic bottles.",EcoWear,Clothing,recycled,39.99
p147,Compostable Coffee Sleeves,"Coffee sleeves made from plant-based materials.",EcoBrew,Beverages,compostable,2.99
p148,Bamboo Cutting Board,"Durable cutting board made from sustainable bamboo.",GreenTable,Kitchen,biodegradable,14.99
p149,Organic Lip Balm,"Natural lip balm with organic ingredients, recyclable tin.",PureBloom,Toiletries,"organic,recyclable",3.99
p150,Reusable Stainless Steel Lunch Box,"Lunch box made from stainless steel, eco-friendly.",SteelSip,Kitchen,reusable,19.99
p151,Organic Cotton Headband,"Soft headband made from 100% organic cotton.",EcoWear,Accessories,"organic,ethical",6.99
p152,Biodegradable Spork,"Spork made from plant-based materials, compostable.",GreenFork,Tableware,biodegradable,2.49
p153,Recycled Paper Bookmarks,"Bookmarks made from 100% recycled paper.",GreenLeaf,Stationery,recycled,1.99
p154,Plastic-Free Body Scrub,"Natural body scrub in a recyclable glass jar.",NaturePure,Toiletries,"plastic-free,recyclable",8.99
p155,Compostable Baking Tray,"Baking tray made from plant-based materials.",EcoStore,Kitchen,compostable,6.99
p156,Organic Cotton Pillow,"Soft pillow made from 100% organic cotton.",EcoRest,Bedding,"organic,ethical",29.99
p157,Bamboo Hair Clip,"Eco-friendly hair clip made from sustainable bamboo.",EcoBrush,Accessories,biodegradable,4.49
p158,Recycled Plastic Bracelet,"Stylish bracelet made from recycled ocean plastic.",SeaShade,Accessories,recycled,9.99
p159,Organic White Tea,"Loose-leaf white tea, organically grown, compostable packaging.",PureLeaf,Beverages,"organic,compostable",6.49
p160,Reusable Silicone Bottle Cap,"Bottle cap made from food-grade silicone, reusable.",EcoStore,Accessories,reusable,3.99
p161,Biodegradable Razor,"Razor with a bamboo handle, fully biodegradable.",SmileGreen,Toiletries,biodegradable,5.99
p162,Organic Cotton Jacket,"Warm jacket made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",49.99
p163,Compostable Straws,"Straws made from plant-based materials, compostable.",GreenSip,Tableware,compostable,2.99
p164,Recycled Aluminum Canister,"Food storage canister made from recycled aluminum.",CycleWorks,Kitchen,recycled,12.99
p165,Organic Soy Candle,"Hand-poured candle made from organic soy wax.",GlowGreen,Home Decor,"organic,eco-friendly",11.99
p166,Plastic-Free Shampoo Bar,"Natural shampoo bar in a recyclable paper wrap.",NaturePure,Hair Care,"plastic-free,recyclable",6.99
p167,Bamboo Wallet,"Eco-friendly wallet made from sustainable bamboo.",EcoShade,Accessories,biodegradable,14.99
p168,Organic Cotton Placemats,"Placemats made from 100% organic cotton.",GreenDine,Tableware,"organic,ethical",12.99
p169,Compostable Food Bags,"Food storage bags made from plant-based materials.",GreenTable,Kitchen,compostable,5.99
p170,Recycled Paper Notebook,"Notebook made from 100% recycled paper.",GreenPlan,Stationery,recycled,7.49
p171,Organic Face Serum,"Natural face serum with organic ingredients, recyclable bottle.",PureBloom,Toiletries,"organic,recyclable",12.99
p172,Reusable Glass Mug,"Insulated mug made from recycled glass.",ClearSip,Beverages,"recycled,reusable",11.99
p173,Biodegradable Scrubber,"Kitchen scrubber made from plant-based fibers.",CleanGreen,Kitchen,biodegradable,3.99
p174,Organic Cotton Blanket,"Cozy blanket made from 100% organic cotton.",EcoRest,Bedding,"organic,ethical",49.99
p175,Plastic-Free Tooth Powder,"Natural tooth powder in a recyclable glass jar.",FreshEco,Toiletries,"plastic-free,recyclable",5.99
p176,Recycled Polyester Shirt,"Stylish shirt made from recycled plastic bottles.",EcoWear,Clothing,recycled,24.99
p177,Compostable Tea Bags,"Tea bags made from plant-based materials, compostable.",EcoBrew,Beverages,compostable,4.49
p178,Bamboo Napkin Holder,"Napkin holder made from sustainable bamboo.",GreenTable,Tableware,biodegradable,9.99
p179,Organic Body Oil,"Natural body oil with organic ingredients, recyclable bottle.",PureBloom,Toiletries,"organic,recyclable",9.99
p180,Reusable Stainless Steel Straw,"Durable straw made from stainless steel.",SteelSip,Accessories,reusable,3.49
p181,Organic Cotton Socks,"Comfortable socks made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",6.99
p182,Biodegradable Dish Rack,"Dish rack made from sustainable bamboo.",CleanWave,Kitchen,biodegradable,19.99
p183,Recycled Paper Cards,"Greeting cards made from 100% recycled paper.",GreenLeaf,Stationery,recycled,3.99
p184,Plastic-Free Conditioner Bar,"Natural conditioner bar in a recyclable paper wrap.",NaturePure,Hair Care,"plastic-free,recyclable",6.99
p185,Compostable Food Wrap,"Food wrap made from plant-based materials.",EcoStore,Kitchen,compostable,5.49
p186,Organic Cotton Towel,"Soft towel made from 100% organic cotton.",EcoRest,Bathroom,"organic,ethical",24.99
p187,Bamboo Coaster Set,"Set of coasters made from sustainable bamboo.",GreenTable,Tableware,biodegradable,7.99
p188,Recycled Plastic Sunglasses,"Stylish sunglasses made from recycled ocean plastic.",SeaShade,Accessories,recycled,24.99
p189,Organic Herbal Blend,"Herbal tea blend, organically grown, compostable packaging.",PureLeaf,Beverages,"organic,compostable",6.99
p190,Reusable Silicone Food Bag,"Food storage bag made from food-grade silicone.",EcoStore,Kitchen,reusable,8.99
p191,Biodegradable Toothbrush,"Toothbrush with bamboo handle, fully biodegradable.",SmileGreen,Toiletries,biodegradable,2.99
p192,Organic Cotton T-Shirt,"Soft T-shirt made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",15.99
p193,Compostable Plates,"Plates made from bagasse, fully compostable.",GreenTable,Tableware,compostable,5.99
p194,Recycled Aluminum Bottle,"Lightweight bottle made from recycled aluminum.",CycleWorks,Accessories,recycled,14.99
p195,Organic Soy Candle,"Hand-poured candle made from organic soy wax.",GlowGreen,Home Decor,"organic,eco-friendly",11.99
p196,Plastic-Free Shampoo,"Natural shampoo bar with zero plastic packaging.",NaturePure,Hair Care,"plastic-free,recyclable",7.49
p197,Bamboo Phone Stand,"Phone stand made from sustainable bamboo.",EcoShade,Accessories,biodegradable,9.99
p198,Organic Cotton Apron,"Durable apron made from 100% organic cotton.",GreenDine,Kitchen,"organic,ethical",19.99
p199,Compostable Cutlery,"Cutlery made from plant-based materials, compostable.",GreenFork,Tableware,compostable,4.99
p200,Recycled Paper Planner,"Planner made from 100% recycled paper, eco-friendly.",GreenPlan,Stationery,recycled,9.99
