product_id,product_name,description,brand,category,sustainability_labels,price,dimensions
p55,Compostable Food Wrap,"Food wrap made from plant-based materials, compostable.",EcoStore,Kitchen,compostable,6.49,"30 x 30 cm"
p56,Organic Cotton Pillowcase,"Soft pillowcase made from 100% organic cotton.",EcoRest,Bedding,"organic,ethical",19.99,"80 x 50 cm"
p57,Bamboo Toothbrush Holder,"Toothbrush holder made from sustainable bamboo.",EcoBrush,Toiletries,biodegradable,5.99,"10 x 5 x 5 cm"
p58,Recycled Plastic Hat,"Stylish hat made from recycled ocean plastic.",SeaShade,Accessories,recycled,19.99,"30 x 20 x 15 cm"
p59,Organic Matcha Tea,"Premium matcha tea, organically grown, in compostable packaging.",PureLeaf,Beverages,"organic,compostable",9.99,"12 x 10 x 5 cm"
p60,Reusable Silicone Straw,"Flexible straw made from food-grade silicone.",EcoSip,Accessories,reusable,3.49,"20 cm"
p61,Biodegradable Laundry Detergent,"Eco-friendly detergent in a compostable package.",CleanGreen,Household,compostable,8.99,"20 x 15 x 5 cm"
p62,Organic Cotton Beanie,"Warm beanie made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",12.99,"25 x 20 cm"
p63,Compostable Party Plates,"Party plates made from bagasse, fully compostable.",GreenTable,Tableware,compostable,6.99,"25 x 25 x 2 cm"
p64,Recycled Glass Candle Holder,"Candle holder made from recycled glass, eco-friendly.",ClearCycle,Home Decor,recycled,9.99,"10 x 10 x 12 cm"
p65,Plastic-Free Hand Soap,"Natural hand soap in a recyclable paper bottle.",NaturePure,Toiletries,"plastic-free,recyclable",5.99,"15 x 5 x 5 cm"
p66,Organic Cotton Tablecloth,"Elegant tablecloth made from 100% organic cotton.",GreenDine,Tableware,"organic,ethical",29.99,"200 x 140 cm"
p67,Bamboo Desk Organizer,"Desk organizer made from sustainable bamboo.",EcoDesk,Office,biodegradable,14.99,"30 x 20 x 10 cm"
p68,Recycled Polyester Tote,"Stylish tote made from recycled plastic bottles.",GreenPack,Bags,recycled,12.99,"40 x 35 x 10 cm"
p69,Organic Rooibos Tea,"Loose-leaf rooibos tea, organically grown, compostable packaging.",PureBlend,Beverages,"organic,compostable",6.99,"12 x 10 x 5 cm"
p70,Reusable Silicone Baking Mat,"Non-stick baking mat made from food-grade silicone.",EcoStore,Kitchen,reusable,10.99,"40 x 30 cm"
p71,Biodegradable Toothpicks,"Toothpicks made from sustainable bamboo.",GreenComb,Toiletries,biodegradable,1.99,"6 cm"
p72,Organic Cotton Pajamas,"Comfortable pajamas made from 100% organic cotton.",EcoRest,Clothing,"organic,ethical",39.99,"100 x 60 cm"
p73,Compostable Napkins,"Napkins made from plant-based fibers, compostable.",GreenDine,Tableware,compostable,3.99,"40 x 40 cm"
p74,Recycled Aluminum Tumbler,"Insulated tumbler made from recycled aluminum.",CycleWorks,Accessories,recycled,15.99,"15 x 8 x 8 cm"
p75,Organic Beeswax Candle,"Handmade candle made from organic beeswax.",GlowGreen,Home Decor,"organic,eco-friendly",11.99,"8 x 8 x 10 cm"
p76,Plastic-Free Face Wash,"Natural face wash in a recyclable paper bottle.",NaturePure,Toiletries,"plastic-free,recyclable",7.49,"15 x 5 x 5 cm"
p77,Bamboo Sunglass Case,"Protective case for sunglasses, made from bamboo.",EcoShade,Accessories,biodegradable,9.99,"16 x 6 x 4 cm"
p78,Organic Cotton Oven Mitts,"Heat-resistant oven mitts made from organic cotton.",GreenChef,Kitchen,"organic,ethical",12.99,"30 x 15 cm"
p79,Compostable Bowls,"Bowls made from bagasse, fully compostable.",GreenTable,Tableware,compostable,5.99,"20 x 20 x 5 cm"
p80,Recycled Paper Journal,"Journal made from 100% recycled paper, eco-friendly.",GreenPlan,Stationery,recycled,7.99,"21 x 15 x 2 cm"
p81,Organic Body Scrub,"Exfoliating scrub made from organic ingredients, recyclable jar.",PureBloom,Toiletries,"organic,recyclable",9.99,"10 x 10 x 8 cm"
p82,Reusable Glass Bottle,"Water bottle made from recycled glass, BPA-free.",ClearSip,Accessories,"recycled,reusable",13.99,"25 x 8 x 8 cm"
p83,Biodegradable Dish Cloths,"Dish cloths made from plant-based fibers, compostable.",CleanGreen,Kitchen,compostable,4.49,"30 x 30 cm"
p84,Organic Cotton Duvet Cover,"Soft duvet cover made from 100% organic cotton.",EcoRest,Bedding,"organic,ethical",69.99,"240 x 220 cm"
p85,Plastic-Free Sunscreen,"Natural sunscreen in a recyclable tin, reef-safe.",FreshEco,Toiletries,"plastic-free,recyclable",8.99,"8 x 8 x 3 cm"
p86,Recycled Polyester Scarf,"Warm scarf made from recycled plastic bottles.",EcoWear,Clothing,recycled,14.99,"180 x 30 cm"
p87,Compostable Coffee Cups,"Disposable coffee cups made from plant-based materials.",EcoBrew,Beverages,compostable,4.99,"12 x 8 x 8 cm"
p88,Bamboo Placemats,"Set of placemats made from sustainable bamboo.",GreenTable,Tableware,biodegradable,12.99,"45 x 30 cm"
p89,Organic Shampoo Bar,"Natural shampoo bar with organic ingredients, zero waste.",PureBloom,Hair Care,"organic,plastic-free",6.99,"8 x 5 x 3 cm"
p90,Reusable Stainless Steel Mug,"Insulated mug made from stainless steel, eco-friendly.",SteelSip,Beverages,reusable,16.99,"15 x 8 x 8 cm"
p91,Organic Cotton Gloves,"Warm gloves made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",9.99,"25 x 10 cm"
p92,Biodegradable Sponge,"Kitchen sponge made from plant-based materials.",CleanWave,Kitchen,biodegradable,3.49,"12 x 8 x 2 cm"
p93,Recycled Paper Postcards,"Postcards made from 100% recycled paper.",GreenLeaf,Stationery,recycled,2.49,"15 x 10 x 0.1 cm"
p94,Plastic-Free Body Lotion,"Natural body lotion in a recyclable paper bottle.",NaturePure,Toiletries,"plastic-free,recyclable",8.49,"15 x 5 x 5 cm"
p95,Compostable Food Containers,"Food containers made from plant-based materials.",EcoStore,Kitchen,compostable,7.99,"20 x 15 x 5 cm"
p96,Organic Cotton Curtains,"Elegant curtains made from 100% organic cotton.",EcoRest,Home Decor,"organic,ethical",49.99,"200 x 140 cm"
p97,Bamboo Soap Dish,"Soap dish made from sustainable bamboo.",EcoBrush,Toiletries,biodegradable,4.99,"12 x 8 x 2 cm"
p98,Recycled Plastic Wallet,"Durable wallet made from recycled ocean plastic.",SeaShade,Accessories,recycled,14.99,"12 x 10 x 2 cm"
p99,Organic Black Tea,"Loose-leaf black tea, organically grown, compostable packaging.",PureLeaf,Beverages,"organic,compostable",5.99,"12 x 10 x 5 cm"
p100,Reusable Silicone Lid,"Food storage lid made from food-grade silicone.",EcoStore,Kitchen,reusable,6.99,"20 x 20 cm"
p101,Biodegradable Floss,"Dental floss made from plant-based materials, compostable.",SmileGreen,Toiletries,biodegradable,3.99,"10 cm"
p102,Organic Cotton Hoodie,"Cozy hoodie made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",39.99,"80 x 60 cm"
p103,Compostable Straws,"Straws made from plant-based materials, compostable.",GreenSip,Tableware,compostable,2.99,"20 cm"
p104,Recycled Aluminum Bottle,"Lightweight bottle made from recycled aluminum.",CycleWorks,Accessories,recycled,14.99,"25 x 8 x 8 cm"
p105,Organic Soy Wax Melts,"Scented wax melts made from organic soy wax.",GlowGreen,Home Decor,"organic,eco-friendly",7.99,"10 x 10 x 2 cm"
p106,Plastic-Free Toothpaste Tabs,"Toothpaste tablets in a recyclable glass jar.",NaturePure,Toiletries,"plastic-free,recyclable",6.49,"8 x 8 x 5 cm"
p107,Bamboo Watch,"Eco-friendly watch with a bamboo strap and case.",EcoShade,Accessories,biodegradable,29.99,"25 x 5 x 1 cm"
p108,Organic Cotton Pot Holders,"Heat-resistant pot holders made from organic cotton.",GreenChef,Kitchen,"organic,ethical",9.99,"20 x 20 cm"
p109,Compostable Cups,"Disposable cups made from plant-based materials.",GreenTable,Tableware,compostable,4.99,"12 x 8 x 8 cm"
p110,Recycled Paper Sketchbook,"Sketchbook made from 100% recycled paper.",GreenPlan,Stationery,recycled,8.99,"21 x 15 x 2 cm"
p111,Organic Face Cream,"Moisturizing face cream with organic ingredients, recyclable jar.",PureBloom,Toiletries,"organic,recyclable",10.99,"8 x 8 x 5 cm"
p112,Reusable Glass Tumbler,"Tumbler made from recycled glass, BPA-free.",ClearSip,Accessories,"recycled,reusable",12.99,"15 x 8 x 8 cm"
p113,Biodegradable Scrub Pads,"Scrub pads made from plant-based fibers, compostable.",CleanGreen,Kitchen,compostable,3.99,"12 x 8 x 2 cm"
p114,Organic Cotton Mattress Cover,"Soft mattress cover made from 100% organic cotton.",EcoRest,Bedding,"organic,ethical",79.99,"200 x 150 cm"
p115,Plastic-Free Lip Gloss,"Natural lip gloss in a recyclable paper tube.",FreshEco,Toiletries,"plastic-free,recyclable",4.99,"8 x 2 x 2 cm"
p116,Recycled Polyester Vest,"Warm vest made from recycled plastic bottles.",EcoWear,Clothing,recycled,34.99,"80 x 60 cm"
p117,Compostable Tea Filters,"Tea filters made from plant-based fibers, compostable.",EcoBrew,Beverages,compostable,3.49,"10 x 10 x 0.1 cm"
p118,Bamboo Serving Tray,"Serving tray made from sustainable bamboo.",GreenTable,Tableware,biodegradable,19.99,"40 x 30 x 5 cm"
p119,Organic Body Butter,"Rich body butter with organic ingredients, recyclable jar.",PureBloom,Toiletries,"organic,recyclable",9.49,"10 x 10 x 8 cm"
p120,Reusable Stainless Steel Canister,"Food storage canister made from stainless steel.",SteelSip,Kitchen,reusable,14.99,"15 x 10 x 10 cm"
p121,Organic Cotton Bandana,"Stylish bandana made from 100% organic cotton.",EcoWear,Accessories,"organic,ethical",7.99,"50 x 50 cm"
p122,Biodegradable Dish Soap Bar,"Solid dish soap bar, zero waste and plant-based.",CleanWave,Kitchen,biodegradable,5.49,"10 x 6 x 3 cm"
p123,Recycled Paper Gift Tags,"Gift tags made from 100% recycled paper.",GreenLeaf,Stationery,recycled,2.49,"8 x 5 x 0.1 cm"
p124,Plastic-Free Shaving Soap,"Natural shaving soap in a recyclable tin.",NaturePure,Toiletries,"plastic-free,recyclable",6.49,"8 x 8 x 3 cm"
p125,Compostable Baking Cups,"Baking cups made from plant-based materials.",EcoStore,Kitchen,compostable,3.99,"8 x 8 x 3 cm"
p126,Organic Cotton Throw,"Cozy throw blanket made from 100% organic cotton.",EcoRest,Home Decor,"organic,ethical",39.99,"150 x 120 cm"
p127,Bamboo Pen,"Eco-friendly pen made from sustainable bamboo.",EcoDesk,Stationery,biodegradable,2.99,"15 cm"
p128,Recycled Plastic Belt,"Durable belt made from recycled ocean plastic.",SeaShade,Accessories,recycled,12.99,"100 x 4 cm"
p129,Organic Chamomile Tea,"Loose-leaf chamomile tea, organically grown, compostable packaging.",PureLeaf,Beverages,"organic,compostable",5.99,"12 x 10 x 5 cm"
p130,Reusable Silicone Wrap,"Food wrap made from food-grade silicone, reusable.",EcoStore,Kitchen,reusable,8.99,"30 x 30 cm"
p131,Biodegradable Cotton Swabs,"Cotton swabs with bamboo sticks, fully biodegradable.",SmileGreen,Toiletries,biodegradable,2.99,"8 cm"
p132,Organic Cotton Sweatshirt,"Comfortable sweatshirt made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",34.99,"80 x 60 cm"
p133,Compostable Party Cups,"Party cups made from plant-based materials, compostable.",GreenTable,Tableware,compostable,5.49,"12 x 8 x 8 cm"
p134,Recycled Aluminum Mug,"Insulated mug made from recycled aluminum.",CycleWorks,Beverages,recycled,13.99,"15 x 8 x 8 cm"
p135,Organic Beeswax Wrap,"Food wrap made from organic beeswax and cotton.",GlowGreen,Kitchen,"organic,eco-friendly",9.99,"30 x 30 cm"
p136,Plastic-Free Face Mask,"Natural face mask in a recyclable glass jar.",NaturePure,Toiletries,"plastic-free,recyclable",8.99,"8 x 8 x 5 cm"
p137,Bamboo Keychain,"Eco-friendly keychain made from sustainable bamboo.",EcoShade,Accessories,biodegradable,4.99,"8 x 3 x 1 cm"
p138,Organic Cotton Napkin Rings,"Napkin rings made from organic cotton, reusable.",GreenDine,Tableware,"organic,reusable",7.99,"5 x 5 cm"
p139,Compostable Food Trays,"Food trays made from bagasse, fully compostable.",GreenTable,Tableware,compostable,6.49,"30 x 20 x 5 cm"
p140,Recycled Paper Diary,"Diary made from 100% recycled paper, eco-friendly.",GreenPlan,Stationery,recycled,9.49,"21 x 15 x 2 cm"
p141,Organic Hand Cream,"Moisturizing hand cream with organic ingredients, recyclable jar.",PureBloom,Toiletries,"organic,recyclable",7.99,"8 x 8 x 5 cm"
p142,Reusable Glass Jar,"Food storage jar made from recycled glass.",ClearSip,Kitchen,"recycled,reusable",10.99,"15 x 10 x 10 cm"
p143,Biodegradable Cleaning Brush,"Cleaning brush with bamboo handle, plant-based bristles.",CleanGreen,Kitchen,biodegradable,4.99,"25 cm"
p144,Organic Cotton Bathrobe,"Soft bathrobe made from 100% organic cotton.",EcoRest,Bathroom,"organic,ethical",59.99,"120 x 80 cm"
p145,Plastic-Free Eye Cream,"Natural eye cream in a recyclable glass jar.",FreshEco,Toiletries,"plastic-free,recyclable",9.99,"5 x 5 x 5 cm"
p146,Recycled Polyester Pants,"Comfortable pants made from recycled plastic bottles.",EcoWear,Clothing,recycled,39.99,"100 x 40 cm"
p147,Compostable Coffee Sleeves,"Coffee sleeves made from plant-based materials.",EcoBrew,Beverages,compostable,2.99,"12 x 8 x 0.1 cm"
p148,Bamboo Cutting Board,"Durable cutting board made from sustainable bamboo.",GreenTable,Kitchen,biodegradable,14.99,"40 x 30 x 2 cm"
p149,Organic Lip Balm,"Natural lip balm with organic ingredients, recyclable tin.",PureBloom,Toiletries,"organic,recyclable",3.99,"5 x 5 x 2 cm"
p150,Reusable Stainless Steel Lunch Box,"Lunch box made from stainless steel, eco-friendly.",SteelSip,Kitchen,reusable,19.99,"20 x 15 x 5 cm"
p151,Organic Cotton Headband,"Soft headband made from 100% organic cotton.",EcoWear,Accessories,"organic,ethical",6.99,"20 x 5 cm"
p152,Biodegradable Spork,"Spork made from plant-based materials, compostable.",GreenFork,Tableware,biodegradable,2.49,"18 x 3 x 1 cm"
p153,Recycled Paper Bookmarks,"Bookmarks made from 100% recycled paper.",GreenLeaf,Stationery,recycled,1.99,"15 x 5 x 0.1 cm"
p154,Plastic-Free Body Scrub,"Natural body scrub in a recyclable glass jar.",NaturePure,Toiletries,"plastic-free,recyclable",8.99,"10 x 10 x 8 cm"
p155,Compostable Baking Tray,"Baking tray made from plant-based materials.",EcoStore,Kitchen,compostable,6.99,"30 x 20 x 5 cm"
p156,Organic Cotton Pillow,"Soft pillow made from 100% organic cotton.",EcoRest,Bedding,"organic,ethical",29.99,"80 x 50 cm"
p157,Bamboo Hair Clip,"Eco-friendly hair clip made from sustainable bamboo.",EcoBrush,Accessories,biodegradable,4.49,"8 x 3 x 1 cm"
p158,Recycled Plastic Bracelet,"Stylish bracelet made from recycled ocean plastic.",SeaShade,Accessories,recycled,9.99,"20 x 1 cm"
p159,Organic White Tea,"Loose-leaf white tea, organically grown, compostable packaging.",PureLeaf,Beverages,"organic,compostable",6.49,"12 x 10 x 5 cm"
p160,Reusable Silicone Bottle Cap,"Bottle cap made from food-grade silicone, reusable.",EcoStore,Accessories,reusable,3.99,"5 x 5 cm"
p161,Biodegradable Razor,"Razor with a bamboo handle, fully biodegradable.",SmileGreen,Toiletries,biodegradable,5.99,"15 cm"
p162,Organic Cotton Jacket,"Warm jacket made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",49.99,"80 x 60 cm"
p163,Compostable Straws,"Straws made from plant-based materials, compostable.",GreenSip,Tableware,compostable,2.99,"20 cm"
p164,Recycled Aluminum Canister,"Food storage canister made from recycled aluminum.",CycleWorks,Kitchen,recycled,12.99,"15 x 10 x 10 cm"
p165,Organic Soy Candle,"Hand-poured candle made from organic soy wax.",GlowGreen,Home Decor,"organic,eco-friendly",11.99,"8 x 8 x 10 cm"
p166,Plastic-Free Shampoo Bar,"Natural shampoo bar in a recyclable paper wrap.",NaturePure,Hair Care,"plastic-free,recyclable",6.99,"8 x 5 x 3 cm"
p167,Bamboo Wallet,"Eco-friendly wallet made from sustainable bamboo.",EcoShade,Accessories,biodegradable,14.99,"12 x 10 x 2 cm"
p168,Organic Cotton Placemats,"Placemats made from 100% organic cotton.",GreenDine,Tableware,"organic,ethical",12.99,"45 x 30 cm"
p169,Compostable Food Bags,"Food storage bags made from plant-based materials.",GreenTable,Kitchen,compostable,5.99,"30 x 20 cm"
p170,Recycled Paper Notebook,"Notebook made from 100% recycled paper.",GreenPlan,Stationery,recycled,7.49,"21 x 15 x 1 cm"
p171,Organic Face Serum,"Natural face serum with organic ingredients, recyclable bottle.",PureBloom,Toiletries,"organic,recyclable",12.99,"10 x 5 x 5 cm"
p172,Reusable Glass Mug,"Insulated mug made from recycled glass.",ClearSip,Beverages,"recycled,reusable",11.99,"15 x 8 x 8 cm"
p173,Biodegradable Scrubber,"Kitchen scrubber made from plant-based fibers.",CleanGreen,Kitchen,biodegradable,3.99,"12 x 8 x 2 cm"
p174,Organic Cotton Blanket,"Cozy blanket made from 100% organic cotton.",EcoRest,Bedding,"organic,ethical",49.99,"200 x 150 cm"
p175,Plastic-Free Tooth Powder,"Natural tooth powder in a recyclable glass jar.",FreshEco,Toiletries,"plastic-free,recyclable",5.99,"8 x 8 x 5 cm"
p176,Recycled Polyester Shirt,"Stylish shirt made from recycled plastic bottles.",EcoWear,Clothing,recycled,24.99,"80 x 60 cm"
p177,Compostable Tea Bags,"Tea bags made from plant-based materials, compostable.",EcoBrew,Beverages,compostable,4.49,"10 x 10 x 0.1 cm"
p178,Bamboo Napkin Holder,"Napkin holder made from sustainable bamboo.",GreenTable,Tableware,biodegradable,9.99,"15 x 15 x 5 cm"
p179,Organic Body Oil,"Natural body oil with organic ingredients, recyclable bottle.",PureBloom,Toiletries,"organic,recyclable",9.99,"15 x 5 x 5 cm"
p180,Reusable Stainless Steel Straw,"Durable straw made from stainless steel.",SteelSip,Accessories,reusable,3.49,"20 cm"
p181,Organic Cotton Socks,"Comfortable socks made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",6.99,"25 x 10 cm"
p182,Biodegradable Dish Rack,"Dish rack made from sustainable bamboo.",CleanWave,Kitchen,biodegradable,19.99,"50 x 30 x 20 cm"
p183,Recycled Paper Cards,"Greeting cards made from 100% recycled paper.",GreenLeaf,Stationery,recycled,3.99,"15 x 10 x 0.1 cm"
p184,Plastic-Free Conditioner Bar,"Natural conditioner bar in a recyclable paper wrap.",NaturePure,Hair Care,"plastic-free,recyclable",6.99,"8 x 5 x 3 cm"
p185,Compostable Food Wrap,"Food wrap made from plant-based materials.",EcoStore,Kitchen,compostable,5.49,"30 x 30 cm"
p186,Organic Cotton Towel,"Soft towel made from 100% organic cotton.",EcoRest,Bathroom,"organic,ethical",24.99,"140 x 70 cm"
p187,Bamboo Coaster Set,"Set of coasters made from sustainable bamboo.",GreenTable,Tableware,biodegradable,7.99,"10 x 10 x 0.5 cm"
p188,Recycled Plastic Sunglasses,"Stylish sunglasses made from recycled ocean plastic.",SeaShade,Accessories,recycled,24.99,"14 x 5 x 4 cm"
p189,Organic Herbal Blend,"Herbal tea blend, organically grown, compostable packaging.",PureLeaf,Beverages,"organic,compostable",6.99,"12 x 10 x 5 cm"
p190,Reusable Silicone Food Bag,"Food storage bag made from food-grade silicone.",EcoStore,Kitchen,reusable,8.99,"20 x 15 x 5 cm"
p191,Biodegradable Toothbrush,"Toothbrush with bamboo handle, fully biodegradable.",SmileGreen,Toiletries,biodegradable,2.99,"20 cm"
p192,Organic Cotton T-Shirt,"Soft T-shirt made from 100% organic cotton.",EcoWear,Clothing,"organic,ethical",15.99,"70 x 50 cm"
